,name,cost_text,coordinates,desc,beds,baths,parkings,weekly_rent
https://www.domain.com.au/l03-68-la-trobe-street-melbourne-vic-3000-16599739,L03/68 La Trobe Street Melbourne VIC 3000,$400.00,"[-37.8083648, 144.9667899]",Courtney Dix,1.0,1.0,0.0,400.0
https://www.domain.com.au/8107-228-la-trobe-street-melbourne-vic-3000-16599602,8107/228 La Trobe Street Melbourne VIC 3000,$980 per week FULLY FURNISHED 81stFloor Fantastic City View,"[-37.8096052, 144.962371]",Rental @grandstand,2.0,2.0,1.0,980.0
https://www.domain.com.au/2901-81-abeckett-street-melbourne-vic-3000-16598841,2901/81 ABeckett Street Melbourne VIC 3000,570,"[-37.8092252, 144.9613779]",Paula Tran,1.0,1.0,0.0,570.0
https://www.domain.com.au/201-23-queens-road-melbourne-vic-3000-14251905,201/23 Queens Road Melbourne VIC 3000,$600 per week,"[-37.8411821, 144.9752893]",MARK DE FAZIO,2.0,1.0,1.0,600.0
https://www.domain.com.au/802-95-berkeley-street-melbourne-vic-3000-16596396,802/95 Berkeley Street Melbourne VIC 3000,$870 per week,"[-37.8033781, 144.9587815]",Jane Ormerod,3.0,2.0,2.0,870.0
https://www.domain.com.au/1207-408-lonsdale-street-melbourne-vic-3000-16301644,1207/408 Lonsdale Street Melbourne VIC 3000,$390,"[-37.8125979, 144.9604012]",Manuel Flores,1.0,1.0,0.0,390.0
https://www.domain.com.au/6803-228-la-trobe-street-melbourne-vic-3000-16592608,6803/228 La Trobe Street Melbourne VIC 3000,$950,"[-37.8096052, 144.962371]",Sabrina Song,2.0,2.0,1.0,950.0
https://www.domain.com.au/2-6-anthony-street-melbourne-vic-3000-16592001,2/6 Anthony Street Melbourne VIC 3000,$590.00,"[-37.8094939, 144.9593798]",Courtney Dix,2.0,1.0,1.0,590.0
https://www.domain.com.au/unit-1402-560-lonsdale-st-melbourne-vic-3000-16042084,Unit 1402/560 Lonsdale St Melbourne VIC 3000,$670 Per Week,"[-37.8139559, 144.9556588]",Wimpie Santoso,2.0,1.0,0.0,670.0
https://www.domain.com.au/2501-82-flinders-street-melbourne-vic-3000-13476696,2501/82 Flinders Street Melbourne VIC 3000,$1450 Per Week,"[-37.815919, 144.971946]",MIA DE SANTIS,3.0,2.0,2.0,1450.0
https://www.domain.com.au/1805-80-abeckett-street-melbourne-vic-3000-16611275,1805/80 ABeckett Street Melbourne VIC 3000,$550,"[-37.8089991, 144.9610792]",Paula Tran,1.0,1.0,0.0,550.0
https://www.domain.com.au/6305c-633-little-lonsdale-street-melbourne-vic-3000-16607357,6305C/633 Little Lonsdale Street Melbourne VIC 3000,$875.00,"[-37.81417740000001, 144.9525524]",Steven Guan,2.0,2.0,1.0,875.0
https://www.domain.com.au/6307c-633-little-lonsdale-street-melbourne-vic-3000-16607312,6307C/633 Little Lonsdale Street Melbourne VIC 3000,$825.00,"[-37.81417740000001, 144.9525524]",Steven Guan,2.0,2.0,1.0,825.0
https://www.domain.com.au/5-300-king-street-melbourne-vic-3000-16597253,5/300 King Street Melbourne VIC 3000,$1200 per week,"[-37.8131981, 144.9544542]",Annalise Zamparo,3.0,2.0,1.0,1200.0
https://www.domain.com.au/407-547-flinders-lane-melbourne-vic-3000-16592286,407/547 Flinders Lane Melbourne VIC 3000,$450 per week,"[-37.8199985, 144.9558061]",Diwa Kakar,1.0,1.0,0.0,450.0
https://www.domain.com.au/1907-483-swanston-street-melbourne-vic-3000-16591950,1907/483 Swanston Street Melbourne VIC 3000,$700.00,"[-37.8072179, 144.9623358]",Jayde Cashion,2.0,2.0,1.0,700.0
