,name,geometry,cost,beds,baths,parkings,SA2_CODE21,SA2_NAME21,Nearest_station,Nearest_park,Nearest_shop,Nearest_hospital,Nearest_school,Nearest_supermarket
271,714/233 Collins Street Melbourne VIC 3000,POINT (144.9660633 -37.8158445),500.0,1.0,1.0,,206041503,Melbourne CBD - East,2.4745,2.4036999999999997,1.168,2.4215,1.0912,0.545
277,402/160 Little Lonsdale Street Melbourne VIC 3000,POINT (144.9673643 -37.809572),360.0,1.0,1.0,,206041503,Melbourne CBD - East,0.9641000000000001,1.7958,0.7621,2.2116,0.6333,1.8383333333333334
282,3703/318 Russell Street Melbourne VIC 3000,POINT (144.9666951 -37.8092219),710.0,2.0,1.0,,206041503,Melbourne CBD - East,0.7906,1.6222999999999999,0.42269999999999996,2.0381,0.4597,0.9299999999999999
287,1209/233 Collins St Melbourne VIC 3000,POINT (144.9660633 -37.8158445),600.0,2.0,1.0,,206041503,Melbourne CBD - East,2.4745,2.4036999999999997,1.168,2.4215,1.0912,0.545
292,1807/68 Latrobe Street Melbourne VIC 3000,POINT (144.9667899 -37.8083648),600.0,2.0,1.0,1.0,206041503,Melbourne CBD - East,1.0760999999999998,1.6096,0.9307000000000001,2.0254000000000003,0.4471,2.1933333333333334
299,3104/141 La Trobe Street Melbourne VIC 3000,POINT (144.9674745 -37.8087593),565.0,1.0,1.0,,206041503,Melbourne CBD - East,0.9891,1.8208,0.7871,2.2365999999999997,0.6582,2.0566666666666666
302,347/299 Spring Street Melbourne VIC 3000,POINT (144.9709246 -37.8078751),660.0,2.0,1.0,1.0,206041503,Melbourne CBD - East,0.9036000000000001,1.6699000000000002,0.9591000000000001,2.0919,0.6394,1.3266666666666667
303,1201/9-23 Mackenzie Street Melbourne VIC 3000,POINT (144.9674656 -37.8076002),500.0,1.0,1.0,,206041503,Melbourne CBD - East,0.88,1.4136,0.7347,1.8294000000000001,0.251,1.2
305,106/58 La Trobe Street Melbourne VIC 3000,POINT (144.9670537 -37.8084287),400.0,1.0,1.0,,206041503,Melbourne CBD - East,1.0568,1.5903,0.9114,2.0061,0.4278,2.146666666666667
309,104A/8 Exploration Lane Melbourne VIC 3000,POINT (144.9684551 -37.80911469999999),550.0,1.0,1.0,,206041503,Melbourne CBD - East,0.6779,1.7474,0.6714,2.1479,0.3788,0.8816666666666666
