,lga_name,cost,beds,baths,parkings,nearest_station,nearest_park,nearest_shop,nearest_hospital,nearest_school,nearest_supermarket,distance_to_cbd,year,offence_count,population,weekly_income
13,casey,493.0612778891409,4.0,2.0,2.0,8.606666666666666,11.041666666666666,7.9766666666666675,24.808333333333334,2.756666666666667,4.031666666666667,47.2,2024,20617.75,697060.0,883.7121679691977
14,central goldfields,346.96743782103295,3.0,1.0,1.0,3.418333333333333,23.87,3.0,47.086666666666666,2.4233333333333333,2.42,999.0,2024,1149.13,13862.0,536.322127267396
15,colac otway,403.94187666055586,3.0,1.0,1.0,64.52333333333334,46.11,64.445,45.306666666666665,2.533333333333333,3.625,999.0,2024,1562.16,21718.0,795.7362065086194
16,corangamite,374.63878621353797,2.0,1.0,1.0,1.28,86.32833333333333,33.95666666666667,18.27833333333333,1.8033333333333328,1.39,999.0,2024,729.29,16037.0,795.7033438364771
17,darebin,508.97891521597194,2.0,1.0,1.0,3.2583333333333333,10.29,6.891666666666667,8.883333333333333,1.975,2.3366666666666664,17.515,2024,12910.03,272893.0,1053.4991417331048
18,east gippsland,411.7343444036269,3.0,1.0,2.0,20.41166666666667,64.45166666666667,19.496666666666663,87.96499999999999,3.3016666666666667,9.421666666666663,999.0,2024,4723.05,49491.0,669.9114323944358
19,frankston,486.1365232766111,3.0,2.0,2.0,6.343333333333334,19.916666666666668,6.726666666666668,22.41166666666667,2.8583333333333334,3.745,47.66833333333333,2024,12395.66,153756.0,906.874201242052
20,gannawarra,312.5476362653026,2.0,1.0,1.0,40.975,102.725,49.443333333333335,999.0,1.5733333333333337,1.9383333333333328,999.0,2024,820.81,10342.0,653.1690728412507
21,glen eira,548.7862581835907,2.0,1.0,1.0,2.455,10.978333333333332,7.61,5.993333333333334,1.4333333333333331,1.856666666666667,24.44,2024,7238.38,171860.0,1200.0087858047916
22,glenelg,387.44531613823347,3.0,1.0,2.0,80.72833333333332,68.40166666666667,5.883333333333334,22.098333333333336,2.745,4.760000000000001,999.0,2024,1568.71,19500.0,711.8509755652618
23,golden plains,513.3788907364069,4.0,2.0,2.0,31.741666666666667,58.59333333333333,29.55333333333333,63.49333333333333,4.71,17.07,88.5,2024,654.07,26811.0,893.8055212028949
24,greater bendigo,422.2628985008232,3.0,1.0,1.0,5.628333333333333,40.623333333333335,6.739999999999999,6.788333333333333,2.4633333333333334,4.75,999.0,2024,10231.75,126296.0,834.0823635662371
25,greater dandenong,468.34326592939397,3.0,1.0,1.0,4.246666666666667,7.838333333333334,5.078333333333333,5.051666666666667,1.721666666666667,2.521666666666667,34.72,2024,14504.77,266698.0,723.7113677079412
26,greater geelong,486.9902117503516,3.0,2.0,2.0,7.213333333333334,54.435,8.07,51.888333333333335,2.5050000000000003,3.868333333333333,70.96499999999999,2024,20210.81,374914.0,892.4654113200583
27,greater shepparton,413.3709329435769,3.0,1.0,1.0,6.151666666666667,31.096666666666668,8.055,7.955,2.165,7.818333333333333,999.0,2024,8920.74,95758.0,798.6225966195273
28,hepburn,443.09773586740266,3.0,1.0,1.0,27.435,30.91,39.37166666666667,28.40333333333333,2.5933333333333333,3.691666666666667,87.72666666666667,2024,641.87,17889.0,762.0996940836442
29,hindmarsh,310.77382880850564,3.0,1.0,2.0,2.746666666666667,49.973333333333336,54.10333333333333,26.211666666666662,1.4316666666666669,26.841666666666665,999.0,2024,346.74,6658.0,752.3216406291087
30,hobsons bay,518.45908919879,3.0,1.0,2.0,3.0683333333333334,4.95,7.458333333333333,8.75,1.6333333333333333,2.998333333333333,23.15,2024,6029.64,98010.0,1067.1111273869028
31,horsham,386.94142619132253,3.0,1.0,1.0,3.455,59.575,4.13,28.85333333333333,2.9916666666666667,25.506666666666668,999.0,2024,2413.48,20401.0,883.1136185858488
32,hume,476.5762950362914,3.0,2.0,2.0,7.739999999999999,28.2,7.305000000000001,21.541666666666668,2.618333333333333,5.13,42.02666666666666,2024,18639.73,405575.0,762.8536512950415
33,indigo,419.17601758168894,3.0,1.0,1.0,22.205,47.263333333333335,32.87,60.71666666666667,1.63,2.53,999.0,2024,663.02,17189.0,872.0849914650912
34,kingston (vic.),534.5140244857539,3.0,1.0,1.0,2.8116666666666665,14.413333333333332,8.561666666666667,17.63,2.015,3.3316666666666666,43.998333333333335,2024,10703.21,180050.0,1002.41516897237
35,knox,519.0495623292991,3.0,2.0,2.0,7.406666666666666,10.496666666666666,6.748333333333333,7.823333333333333,2.3,3.4650000000000003,36.0,2024,9529.97,172622.0,889.2675944743233
36,latrobe (vic.),371.483656329714,3.0,1.0,1.0,4.489999999999999,16.255,5.305000000000001,45.10333333333333,2.265,3.843333333333333,999.0,2024,11455.59,106274.0,730.4072199938105
37,loddon,331.2667626452567,3.0,1.0,2.0,22.596666666666668,65.99333333333333,38.91666666666666,34.580000000000005,8.81,25.956666666666667,999.0,2024,444.1,6933.0,613.7980370760663
38,macedon ranges,527.6417119774051,4.0,2.0,2.0,9.605,38.78833333333333,19.285,33.038333333333334,2.0266666666666664,2.931666666666666,65.45833333333333,2024,2180.58,54262.0,980.4456063486674
39,manningham,563.5780620739024,3.0,2.0,2.0,9.175,6.0633333333333335,5.326666666666667,5.363333333333333,2.17,2.425,22.861666666666668,2024,5575.51,134341.0,844.1983238582578
40,mansfield,469.6055181761112,3.0,1.0,2.0,61.94166666666667,94.58333333333331,6.508333333333334,137.57666666666668,2.803333333333333,6.571666666666667,999.0,2024,535.19,10167.0,812.4638370869968
41,maribyrnong,507.130286299438,2.0,1.0,1.0,3.228333333333333,7.721666666666667,3.355,13.851666666666668,1.7383333333333333,2.2783333333333333,16.848333333333333,2024,8905.07,107311.0,1166.9990602962944
42,maroondah,499.95781509646986,3.0,2.0,2.0,3.99,9.695,5.401666666666667,10.828333333333337,2.975,2.5733333333333333,34.85166666666667,2024,7587.19,128350.0,960.1116785480511
