,name,geometry,cost,beds,baths,parkings,lga_code,lga_name,nearest_station,nearest_park,nearest_shop,nearest_hospital,nearest_school,nearest_supermarket,distance_to_cbd
11354,75 Tangemere Way Cranbourne East VIC 3977,POINT (145.3113899 -38.0974577),550.0,3.0,2.0,2.0,21610,Casey,7.180000000000001,10.161666666666667,8.836666666666668,30.511666666666667,4.325,9.001666666666667,52.83166666666667
11355,13 Ketnor Street Cranbourne VIC 3977,POINT (145.2751755 -38.1138639),600.0,5.0,2.0,2.0,21610,Casey,5.325,15.058333333333334,2.7766666666666664,24.21333333333333,2.5866666666666664,2.9266666666666667,46.943333333333335
11356,35 Mossey Crescent Cranbourne East VIC 3977,POINT (145.3005046 -38.126083),480.0,3.0,2.0,1.0,21610,Casey,7.308333333333334,13.961666666666668,5.258333333333334,28.508333333333333,1.6533333333333333,5.265,51.23833333333334
11357,20 Challenger Circuit Cranbourne East VIC 3977,POINT (145.3074589 -38.11421199999999),535.0,4.0,2.0,2.0,21610,Casey,8.598333333333333,11.595,8.193333333333333,30.275,3.6083333333333334,4.005,53.005
11358,1/46 Cochrane Street Cranbourne VIC 3977,POINT (145.2772125 -38.1067759),450.0,3.0,1.0,2.0,21610,Casey,2.7849999999999997,12.953333333333335,2.4116666666666666,25.071666666666665,1.175,2.9483333333333333,47.80166666666666
11359,1/15 Ainsleigh Court Cranbourne VIC 3977,POINT (145.2783826 -38.0954756),410.0,3.0,1.0,1.0,21610,Casey,2.185,12.096666666666666,4.444999999999999,25.598333333333336,3.0616666666666665,4.706666666666666,48.32833333333333
11360,6 BALES ROAD Cranbourne East VIC 3977,POINT (145.2976107 -38.0924977),550.0,4.0,2.0,2.0,21610,Casey,5.421666666666667,9.668333333333333,7.078333333333333,27.441666666666666,3.4866666666666664,3.5483333333333333,50.17166666666667
11361,34 Dearing Avenue Cranbourne VIC 3977,POINT (145.2788243 -38.1061479),298.0,1.0,1.0,0.0,21610,Casey,2.2483333333333335,12.416666666666666,2.356666666666667,25.64333333333333,1.1933333333333331,2.8916666666666666,48.373333333333335
11362,21 Northumbria Street Cranbourne East VIC 3977,POINT (145.3073941 -38.1106375),530.0,4.0,2.0,2.0,21610,Casey,7.513333333333334,10.381666666666666,7.953333333333333,30.035,2.3883333333333336,3.9949999999999997,52.765
11363,2 Sunstone Street Cranbourne East VIC 3977,POINT (145.3155935 -38.1290099),540.0,4.0,2.0,2.0,21610,Casey,11.613333333333333,13.018333333333334,10.729999999999999,32.81166666666667,3.295,4.451666666666667,55.541666666666664
11365,70 Spirit Boulevard Cranbourne East VIC 3977,POINT (145.3009082 -38.0942704),550.0,4.0,2.0,2.0,21610,Casey,5.781666666666666,10.028333333333334,7.4383333333333335,27.801666666666666,6.29,3.908333333333333,50.531666666666666
11366,33 Marrone boulevard Cranbourne East VIC 3977,POINT (145.302621 -38.1170672),560.0,4.0,2.0,2.0,21610,Casey,7.085,12.078333333333335,6.293333333333334,28.375,1.7950000000000002,3.3833333333333333,51.105000000000004
11367,10 Push-Pea Way Cranbourne West VIC 3977,POINT (145.2516582 -38.0936656),460.0,3.0,2.0,2.0,21610,Casey,5.108333333333333,13.693333333333333,7.3149999999999995,22.086666666666666,0.3766666666666667,1.6583333333333334,44.81666666666667
11368,42 Waterman Drive Cranbourne South VIC 3977,POINT (145.3321327 -38.1234574),580.0,4.0,2.0,2.0,21610,Casey,10.506666666666666,10.336666666666668,9.715,30.993333333333332,0.215,2.628333333333333,53.00666666666667
11369,9 Deegan Way Cranbourne East VIC 3977,POINT (145.2991627 -38.1251718),500.0,4.0,2.0,2.0,21610,Casey,7.126666666666667,13.988333333333333,5.075,28.325,1.255,4.535,51.055
11370,31 Chittagong Drive Clyde North VIC 3978,POINT (145.3570863 -38.1053122),600.0,4.0,2.0,2.0,21610,Casey,19.578333333333333,13.604999999999999,15.546666666666665,33.46333333333333,8.868333333333334,8.628333333333334,55.47666666666667
11371,13 Darwina Avenue Clyde VIC 3978,POINT (145.3262011 -38.1266347),550.0,4.0,2.0,2.0,21610,Casey,12.733333333333333,12.563333333333333,11.941666666666666,33.22,4.911666666666666,4.8533333333333335,55.233333333333334
11372,47 Creekside Street Clyde VIC 3978,POINT (145.3396354 -38.1252856),495.0,3.0,2.0,2.0,21610,Casey,12.65,12.479999999999999,11.858333333333333,33.13666666666667,2.73,4.77,55.15
11373,10 Sicily Road Clyde North VIC 3978,POINT (145.3642993 -38.1295789),520.0,4.0,2.0,2.0,21610,Casey,23.581666666666667,14.781666666666666,14.16,35.43833333333334,8.311666666666666,7.073333333333333,57.45166666666667
11374,22 Monterey Loop Clyde VIC 3978,POINT (145.3509993 -38.1264929),470.0,3.0,2.0,2.0,21610,Casey,14.058333333333334,13.888333333333332,13.264999999999999,34.544999999999995,7.416666666666667,6.178333333333333,56.55833333333333
11375,9 Pesaro Street Clyde VIC 3978,POINT (145.3658371 -38.1292511),650.0,4.0,2.0,2.0,21610,Casey,23.831666666666667,15.091666666666667,14.47,35.748333333333335,21.05666666666667,7.383333333333334,57.76166666666666
11376,14 Keskadale Drive Clyde VIC 3978,POINT (145.3442703 -38.1193632),570.0,4.0,2.0,2.0,21610,Casey,12.803333333333335,11.921666666666665,12.011666666666667,32.57833333333333,3.5966666666666667,4.923333333333333,54.59166666666667
11377,5 Whispering Way Clyde North VIC 3978,POINT (145.3512714 -38.101337),580.0,4.0,2.0,2.0,21610,Casey,18.623333333333335,12.243333333333334,14.185,32.10166666666667,7.506666666666666,7.266666666666667,54.11666666666667
11378,56 Kamona Street Clyde VIC 3978,POINT (145.3192524 -38.1291432),550.0,4.0,2.0,2.0,21610,Casey,10.418333333333333,11.823333333333332,9.536666666666667,31.616666666666667,2.1,4.113333333333333,54.34666666666667
11379,12 Cadenza Street Clyde VIC 3978,POINT (145.3678253 -38.1373988),550.0,4.0,2.0,2.0,21610,Casey,19.81833333333333,15.053333333333335,13.065,35.14666666666667,9.196666666666665,7.343333333333334,57.723333333333336
11380,4 Catfish Street Clyde North VIC 3978,POINT (145.339776 -38.10761249999999),480.0,3.0,2.0,2.0,21610,Casey,9.615,8.008333333333333,10.746666666666666,28.665000000000003,3.06,3.83,50.67833333333333
11381,10 Canyon Avenue Clyde VIC 3978,POINT (145.3246251 -38.1188635),535.0,3.0,2.0,2.0,21610,Casey,9.31,9.946666666666665,8.518333333333334,30.598333333333336,2.2216666666666667,1.3633333333333333,52.61666666666667
11382,6 Chittagong Drive Clyde North VIC 3978,POINT (145.3554533 -38.1054221),625.0,4.0,2.0,2.0,21610,Casey,19.01833333333333,13.045,14.985000000000001,32.903333333333336,8.306666666666667,8.068333333333333,54.916666666666664
11383,15 Moorside Cres Clyde North VIC 3978,POINT (145.3483185 -38.0843819),750.0,4.0,2.0,2.0,21610,Casey,10.254999999999999,7.681666666666667,9.623333333333333,26.8,5.203333333333333,5.466666666666667,48.81333333333334
11384,8 Cardex Road Clyde North VIC 3978,POINT (145.3377883 -38.0864571),530.0,4.0,2.0,0.0,21610,Casey,13.41,6.2316666666666665,8.97,26.888333333333332,4.716666666666667,2.9183333333333334,48.901666666666664
11385,8 Cropping Street Clyde North VIC 3978,POINT (145.3857017 -38.1043339),550.0,4.0,2.0,4.0,21610,Casey,21.013333333333332,17.285,19.226666666666667,35.230000000000004,5.515,13.175,57.24333333333333
11386,26 Thulian Street Clyde North VIC 3978,POINT (145.3762948 -38.1238466),580.0,4.0,2.0,2.0,21610,Casey,22.991666666666667,17.16166666666667,19.103333333333335,37.02166666666667,22.328333333333333,12.185,59.035
11387,6 Roskopp Avenue Clyde North VIC 3978,POINT (145.3357141 -38.1145951),560.0,4.0,2.0,2.0,21610,Casey,11.276666666666667,9.67,10.826666666666666,30.326666666666664,1.2783333333333333,4.251666666666667,52.34
11388,62 Generation Drive Clyde North VIC 3978,POINT (145.3928893 -38.1049727),570.0,4.0,2.0,2.0,21610,Casey,25.491666666666667,21.763333333333332,30.006666666666668,39.708333333333336,9.991666666666667,27.7,61.72166666666667
11389,27 Fathom Way Clyde North VIC 3978,POINT (145.3281526 -38.11806869999999),580.0,3.0,2.0,2.0,21610,Casey,10.896666666666667,9.865,10.104999999999999,30.521666666666665,2.2116666666666664,3.018333333333333,52.535
11390,14 Chitwan Street Clyde North VIC 3978,POINT (145.3811536 -38.1000244),500.0,4.0,2.0,2.0,21610,Casey,17.148333333333333,13.42,15.361666666666668,31.366666666666667,6.025,9.31,53.38
11391,21 Magias Circuit Clyde VIC 3978,POINT (145.3263972 -38.1334141),470.0,3.0,2.0,2.0,21610,Casey,9.905,11.951666666666666,9.021666666666667,31.103333333333335,0.5333333333333333,4.243333333333333,53.833333333333336
11392,32 Thulian Street Clyde North VIC 3978,POINT (145.3762184 -38.1242059),650.0,4.0,2.0,2.0,21610,Casey,23.096666666666668,17.266666666666666,19.208333333333332,37.125,22.433333333333334,12.29,59.138333333333335
11393,7 Ayredale Street Clyde VIC 3978,POINT (145.3223198 -38.1278058),575.0,4.0,2.0,2.0,21610,Casey,10.405,11.808333333333334,9.521666666666667,31.603333333333335,2.086666666666667,4.1,54.333333333333336
11394,7 Handsome Ave Clyde North VIC 3978,POINT (145.387636 -38.101801),550.0,4.0,2.0,2.0,21610,Casey,23.226666666666667,19.498333333333335,21.44,37.443333333333335,7.7283333333333335,15.388333333333332,59.45666666666667
11395,21 Mocha Grove Clyde North VIC 3978,POINT (145.3774885 -38.1235083),550.0,4.0,2.0,2.0,21610,Casey,22.608333333333334,16.778333333333332,18.71833333333333,36.63666666666666,21.945,11.801666666666668,58.65
11396,80 Hartliegh Street Clyde VIC 3978,POINT (145.33539 -38.1261662),690.0,5.0,2.0,2.0,21610,Casey,11.748333333333333,11.578333333333335,10.956666666666667,32.235,1.9583333333333333,3.868333333333333,54.248333333333335
11397,11 Swallowtail Avenue Clyde North VIC 3978,POINT (145.3755636 -38.083923),600.0,4.0,2.0,2.0,21610,Casey,12.081666666666667,12.113333333333333,13.216666666666667,27.701666666666664,1.6183333333333332,9.926666666666668,50.64
11398,4 Honeybrook Lane Clyde VIC 3978,POINT (145.3387355 -38.1215149),460.0,3.0,2.0,2.0,21610,Casey,11.138333333333332,10.968333333333334,10.346666666666666,31.625,2.3883333333333336,3.2583333333333333,53.638333333333335
11399,6 Camargue Circuit Clyde North VIC 3978,POINT (145.3255243 -38.10694030000001),520.0,3.0,2.0,1.0,21610,Casey,8.205,7.958333333333333,9.860000000000001,28.615000000000002,2.57,1.1783333333333335,50.62833333333333
11400,7 Mosedale Place Clyde North VIC 3978,POINT (145.3435973 -38.1180162),540.0,3.0,2.0,2.0,21610,Casey,12.738333333333333,11.856666666666666,11.946666666666665,32.513333333333335,2.73,4.86,54.526666666666664
11401,14 Pewter Walk Clyde North VIC 3978,POINT (145.3709344 -38.12361850000001),540.0,4.0,2.0,2.0,21610,Casey,23.025,17.19333333333333,15.773333333333333,37.05333333333333,22.36,12.218333333333334,59.06666666666667
11402,12 Pewter Walk Clyde North VIC 3978,POINT (145.3710138 -38.1236292),540.0,4.0,2.0,2.0,21610,Casey,23.006666666666668,17.176666666666666,15.756666666666666,37.03666666666666,22.34333333333333,12.2,59.05
11403,20 Matchett Drive Clyde VIC 3978,POINT (145.3265666 -38.1269926),525.0,4.0,2.0,1.0,21610,Casey,12.951666666666666,12.783333333333333,12.16,33.440000000000005,5.13,5.073333333333333,55.45333333333333
11404,29 Kernot Parade Clyde VIC 3978,POINT (145.334245 -38.1257269),610.0,4.0,2.0,2.0,21610,Casey,11.911666666666667,11.741666666666667,11.120000000000001,32.39833333333333,1.6183333333333332,4.031666666666667,54.41166666666666
11405,10 Pewter Walk Clyde North VIC 3978,POINT (145.3710813 -38.12363819999999),540.0,4.0,2.0,2.0,21610,Casey,22.993333333333332,17.16166666666667,15.741666666666667,37.02166666666667,22.328333333333333,12.185,59.035
11406,39 Spartan Avenue Clyde North VIC 3978,POINT (145.3421643 -38.0900645),500.0,4.0,3.0,2.0,21610,Casey,14.156666666666666,7.775,9.716666666666667,27.634999999999998,5.463333333333334,3.665,49.64833333333333
11407,23 Strathcona Avenue Clyde VIC 3978,POINT (145.3338561 -38.1226811),500.0,4.0,2.0,2.0,21610,Casey,10.575,10.405,9.783333333333333,31.061666666666667,0.565,2.6966666666666668,53.075
11408,10/48s Ramlegh Boulevard Clyde North VIC 3978,POINT (145.3436578 -38.1182614),500.0,3.0,2.0,2.0,21610,Casey,12.701666666666666,11.82,11.91,32.47666666666667,2.6933333333333334,4.821666666666667,54.49
11409,14 Palacio Terrace Clyde North VIC 3978,POINT (145.3317889 -38.1092376),550.0,4.0,2.0,3.0,21610,Casey,9.226666666666667,7.618333333333334,10.881666666666666,28.275,3.0983333333333336,2.2,50.288333333333334
11410,39 Merribook Boulevard Clyde VIC 3978,POINT (145.3516013 -38.1257265),570.0,4.0,2.0,2.0,21610,Casey,13.76,13.59,12.968333333333334,34.24666666666667,7.12,5.881666666666666,56.26166666666666
11411,71 Spectrum Crescent Clyde North VIC 3978,POINT (145.3946225 -38.1018306),675.0,4.0,2.0,2.0,21610,Casey,25.46333333333333,22.573333333333334,29.978333333333335,38.75666666666667,9.965,27.671666666666667,61.695
